u,xi1,xi2,sig,phi,lpost,cont
54,1.6224940736751772,0.825371048556649,13.472641854016196,0.04130638442945589,-8244.454336371999,TRUE
35,1.6672510268774154,0.7787419292802836,21.903670508613608,0.05174948544545722,-8242.734909767874,FALSE
42,1.6525469423749306,0.8189680661994333,26.639234667587353,0.04586886209938253,-8244.361291853584,FALSE
25,1.672534460019554,0.8660759133816927,23.173823709504017,0.06939135548368126,-8245.662856931494,FALSE
38,1.6916737139780513,1.1291520538346966,18.56152960618462,0.048809173772419875,-8247.610337005102,FALSE
204,1.5589919896106579,0.7087093421956939,20.930213779158827,0.012381206493918474,-8245.20560406118,TRUE
285,1.5211977253721247,0.36755770096311435,99.60423676218397,0.007644810349897089,-8248.920810725132,FALSE
93,1.5801798333667278,0.7549568262096021,21.19217490137319,0.025548851190597438,-8244.454212641085,TRUE
369,1.5806739316536644,0.5070011030473346,54.729651311418785,0.007135582730015872,-8246.979328294388,TRUE
218,1.624274468633302,0.2239468606508429,282.83481406980576,0.009997059688326962,-8249.225405158419,FALSE
208,1.6216610890775884,0.3699848658060027,178.40483758951345,0.009997059688326962,-8247.035526171754,FALSE
211,1.530418779172112,0.7354341928966205,18.87628080442408,0.0116873260409599,-8245.597752518779,TRUE
303,1.5853187817938357,0.3381913516729801,98.48819395051575,0.00825623099743497,-8247.254464161464,TRUE
193,1.5766812992217947,0.844176367052575,14.360895168601257,0.0111731843575419,-8247.060586033478,FALSE
152,1.5662501347863542,0.6602691040020482,22.065619547573448,0.015044878252914843,-8244.896863415779,TRUE
212,1.528008901452513,0.5067259525030721,79.60884291719245,0.012383519351554248,-8245.908112196385,TRUE
174,1.5829452243521673,0.7409162339237736,16.607386130781016,0.014721058829563463,-8245.161041338171,TRUE
247,1.595216579710569,0.6549589858044795,35.11110037934909,0.00911496618641576,-8248.343524722908,FALSE
177,1.597006372053519,0.4376388630489734,53.36303978219101,0.013188416056211412,-8246.943775275746,TRUE
261,1.586411061290717,0.16326526887860432,182.97164325941054,0.011806464099270327,-8248.815549119981,TRUE
470,1.6015564978138914,0.5631661541899768,29.84646326431957,0.006103210162420235,-8248.822128114432,TRUE
2,3.6162203622090923,1.2252537532792873,1.505644406075676,0.39400176418700383,-8240.379582814297,FALSE
6,1.9181286221840723,1.0977108769151163,2.6498947225691563,0.19347250808585711,-8239.22690295034,FALSE
399,1.557738073471293,0.974791845360391,110.76942405319733,0.00558659217877095,-8252.257728936504,FALSE
369,1.590598477672315,0.1974922727396121,267.2373728509729,0.005880623346074684,-8249.990709749194,FALSE
710,1.4901305633990725,0.5462327909293831,256.16528288571965,0.005248849835741294,-8253.435676290861,TRUE
239,1.5975828343648897,0.5963752887871208,91.99233956621876,0.00911496618641576,-8247.92902099633,FALSE
216,1.6168798558203048,0.49734778402377167,107.47308507057048,0.016103425605054,-8250.132628609832,TRUE
208,1.5654347830207465,0.10159108111649562,302.1921382222874,0.009997059688326962,-8246.315506175275,FALSE
41,1.6494953023735,0.686333862652225,43.07820691821474,0.046750955601293734,-8244.437539391518,FALSE
308,1.5427442214826224,0.36033729379870527,148.9583973975381,0.009550804245349107,-8246.939983170403,TRUE
469,1.5350037012738795,0.6141546794038635,96.60142850371193,0.0069464259174850645,-8248.720805683524,TRUE
361,1.6149776863437417,0.6311827380600464,14.889010998282439,0.007924871744453109,-8248.779373095585,TRUE
429,1.5097714527351627,0.4951604485576262,104.64357757886197,0.006284509803801775,-8247.424705905803,TRUE
30,1.6173518793187958,0.7645869853373697,24.420770635313957,0.05968832696265804,-8243.797737921532,FALSE
